|9
odio|1686
cuando|1665
se|450
enojan|1
por|124
una|92
boludes|1
rt|886
que|1093
no|686
me|1060
alcancen|4
las|155
letras|4
y|760
más|51
tengo|98
bardo|6
con|254
alguien|177
estar|30
abreviando|4
todo|77
quedo|15
como|180
turra|4
arrepentida|4
siguen|45
el|320
infantilismo|44
del|78
te|273
mamá|58
puede|51
decir|53
un|321
niño|45
de|626
5|48
años|47
pierde|45
permiso|46
para|148
ver|103
tv|45
adulto|44
hacer|44
tuit|4
escribirlo|2
mal|75
borrarlo|2
volverlo|2
a|412
escribir|7
después|23
darme|3
cuenta|10
lo|172
escribí|2
sos|17
estúpida|5
t|6
llamas|2
moni|2
le|75
da|46
tele|3
nota|3
en|330
usted|2
señora|2
palacios|1
despierten|2
estoy|238
estudiando|2
frío|11
ella|6
entiendo|76
mis|113
propios|70
sentimientos|60
sin|15
motivo|2
aparente|1
encuentro|3
así|37
forman|2
esos|25
nudos😔|1
personas|56
meten|11
mucha|19
presión|3
arruinan|1
ese|21
momento|12
pierdo|3
pensamientosy|1
solo|17
existo|2
yo|109
😪😁|1
digo|64
ana|2
venga|2
viene😾|1
pasa|103
la|509
bronca|77
antes|67
tiempo|68
quedan|60
pendientes|57
todos|93
los|227
planes|61
venganza|59
había|63
pensado|57
parte|6
uñas😥😢|1
quiero|85
juntar|3
amigas|13
hay|37
casa|16
hace|76
eso😣|1
🙀🙀🙀🙀|1
eso|34
🙄|2
doy|12
mucho|23
casco|2
cosas|51
comprometo|1
cob|1
algo|174
cumplo|1
mi|132
mama|6
diga|4
confianza|4
si|108
intento|3
decirle|17
ignora|1
o|143
enoja|4
cuento|8
pine|1
hablar|19
horas|12
esperar|7
saber|11
nos|18
miren|4
raro|2
hagan|11
callar|2
reimos|2
amargada|2
mierda|20
ami|2
rompas|2
pelotas|6
ducha|6
tiene|23
sólo|12
2|12
opciones:|3
quemaduras|3
3º|3
grado|3
zambullida|3
océano|3
antártico|3
sentimientos😟😪|12
voy|39
calle|7
pantalón|1
corto|1
empalma|1
ríe|1
afecta|4
serio|2
canta|4
cacho|1
dicen|37
busque|2
trabajo|6
dónde|4
haga|8
guste|2
nadie|15
va|24
pagar|2
comer|9
pizza|7
día|9
🍕|2
olvida|6
contraseña|5
contesto|4
preguntas|7
personales|4
seguridad|8
es|173
ni|56
mismo|11
conociera|4
fiestas|1
mas|38
insisten|1
hacerla|1
acostado|13
levanto|14
rÁpido|12
entra|17
mareo|12
veo|55
nada|65
quedar|14
quieto|12
hasta|42
pone|39
asiii😒😒👊|1
esto😰|1
mientan|20
ya|61
verdad|17
vero|1
cambien|4
estan|22
otras|19
👊|5
gente|63
cartelea|2
algún|5
problema|3
hablemoslo|2
favor|5
hablen|27
duele|6
tanto|28
cabeza|6
😭|4
esa|14
sensacion|1
canciones|1
tristes|1
sale|24
alegre|1
oye|3
respeta|1
depresion|1
idiota|36
viene|14
bajón|6
sabes|19
tardan|11
contestar|5
ganas|21
esas|13
prima|1
habla|16
😒|10
nombre|5
siempre|70
quise|1
pasen|1
ahora|8
dan|30
igual|8
quieren|10
tomar|3
parcial|1
exposición|1
donde|11
venda|1
producto|1
estas|19
cargando|4
cuándo|8
metí|1
estudiar|1
marketing|1
agg|1
está|47
linea|1
contesta|14
hablo|5
pero|85
pasas|6
intentas|1
duro|1
queda|15
abracen|1
triste|9
porque|71
único|6
logran|1
verme|1
llorar|8
💔😓|1
qué|52
preguntan|6
q|61
vomitan|3
hablan|22
vargas|3
llosa|3
villaran|3
humala|3
toledo|3
nuevo|6
punching|3
bag|3
veronika|3
vos|26
nada👊|1
imposible|1
amar|2
corazón|3
guarda|1
ángeles|1
cuidan|1
mientras|41
peleo|1
estos|8
demonios|1
lucas|2
creido|1
humor|15
loko|1
:b|1
