|22
me|2265
encanta|372
cuando|100
se|121
buguean|1
las|82
estadisticas|1
en|215
rt|826
que|1384
los|109
pibes|1
sean|3
detallistas|1
😍|30
ayudar|9
tareas|6
de|535
mi|310
casa|23
como|88
levantar|7
pies|7
barren|6
o|43
cosas|33
así|128
igual|12
q|55
claven|1
él|15
visto|1
eh|1
este|59
jugador|1
vale|7
más|190
hernanes|1
esta|94
incorporación|1
sandía|1
aunque|12
toda|11
la|417
fruta|1
verano:|1
piña|1
fresas|1
cerezas|1
nísperos|1
también|8
el|409
mango|1
moras|1
😂|8
te|202
extraño|21
aburro|14
sin|54
vos|42
no|338
quiero|185
estar|84
tus|35
besos|22
abrazos|13
todo|120
eso|117
foto|23
xd|6
65|1
visualizaciones|1
y|503
solo|50
una|96
persona|51
vió|1
video|7
pasotismo|1
postureo|1
twitter|7
[no|1
si|100
estés|3
everywhere|1
tbh|1
c:]|1
34|1
mejor|26
con|172
veas|1
amigooo|1
gente|58
siempre|132
va|23
frente|14
le|49
molesta|13
algo|51
lo|452
dice|23
anda|11
tirandote|11
mierda|19
por|174
atrás|12
andar|2
buenas|19
a|462
patricia|1
malespin|1
:3|4
estoy|38
viviendo|7
es|403
bendición|6
enorme|7
señoritas|6
tenerlas|6
compañeras|6
sueño|7
porque|70
seas|2
tan|261
inteligente|1
jajajajaj|2
unido|1
curso|3
cd|2
nuevo|12
podría|2
programar|1
llorar|7
muchas|12
gracias|51
haya|6
gustado|1
otra|8
sale|2
alli|2
esa|41
mama|7
—me|7
dejar|12
pelotudos|7
intriga|7
—por|7
—después|7
cuento|7
hola|3
llamo|3
carolina|1
hacer|11
amor|90
varias|2
formas|1
posturas|1
libera…|1
toluca|1
velocidad|1
trenes|1
alemanes|1
nótese|1
ironía|1
un|134
día|73
voy|31
explotar|1
saltar|2
encima|6
decir|11
mucho|56
hasta|14
perder|3
dignidad|2
qué|33
gea|1
esté|7
metido|1
caso|2
torbe|1
sea|24
tendencia|1
su|44
novia|4
edurne|1
hacéis|1
estas|18
gilipolleces|1
ese|13
niño|7
😍😍|7
votando|1
siento|29
ya|50
amo|56
fifthharmony4mmva|2
supieras|5
detalle|2
boludo|3
hace|1517
feliz|1349
viene|5
buenviernes|2
amorcito|2
trae|3
tacos|2
canasta|1
😍😍😍|7
nunca|15
cansar|1
verlo|21
sonreír|15
saben|16
mina|5
dioooos|2
feo|3
😩❤️❤️❤️|2
nada|100
ver|91
greys|1
clases😍😍|1
meagan|1
camper|1
sarah|1
urie|1
beffis|1
ser|52
mas|104
gusta|24
verte|65
🎸|1
estamos|3
organizando|1
para|55
noche|5
repost|2
with|2
repostapp|2
・・・|2
viernes|22
desde|13
mes|3
resiliencia|1
me…|1
aparte|1
suben|1
fotos|11
juntas|3
insta|1
aún|18
son|9
mis|34
crushes|1
😻😻😻|5
al|41
sus|25
esposos|1
rayos|1
estes|4
muriendo|2
tenerme|1
agonizando|1
volver|13
verme|8
olvide|2
ti|17
alguien|15
muy|202
feliz♪|1
the|5
vamps|1
💞|2
añoro|2
cómic|2
regresará|2
yo|34
sé|11
euskadi|1
kadi|1
meo|1
queso|4
rallado|2
fideos|3
mal|15
algun|1
momento|15
hizo|7
publique|1
aplicación|1
están|8
usando-|1
nadie|13
ni|20
estando|1
pedo|2
juego|2
Últimamente|2
vivir|7
desconozco|1
che|2
campera|2
anomalía🌍👏|1
voz|11
bruno|2
mars|2
celoso|1
nooo|1
cómo|3
crees|1
tu|117
esposo|2
agarre|1
nalgas|1
enfrente|1
pendeja|1
maneja|1
dirigencia|1
refuerzos|1
filtre|1
sos|25
crack|1
semana|10
cartoon|1
tengo|145
5|7
años|16
<3|13
♫|3
hacen|8
esas|9
hueás|1
hahaha|2
sabor|1
tú|37
boca|2
beso|1
historias|2
corrientes|1
chetta|1
re|23
amigos|10
podia|2
faltar|2
maÑanero|2
😈😈😈|2
rico|4
culote|2
mujer|12
usarla😎✌🐢👍😏😋|2
cara|4
inocente|1
soy|43
calma|2
antecede|1
huracán|1
obama|1
programa|1
negro|1
blanca|2
chupa|2
huevo|3
messi|12
hoy|49
😂❤|1
huele|3
1mes|3
10demayo|3
toursirope|3
guate|3
felizsigueme|3
educadas|1
normani|1
lauren|1
mí|31
acompañame|1
vamos|3
juntos|7
cosa|11
linda|9
pasa|12
casualidad|4
salí|1
vecina|7
estaba|6
vereda|1
dijo|5
sabía|1
pregunto|2
había|2
casado|1
hacemos|1
curso😊|1
escuchar|19
opening|1
dragon|1
ball|2
afónica|1
mentira|1
morir|3
millennials|1
centennials|1
nuevos|2
reyes|1
redes|1
silver|1
surfers|1
diría|2
steel|1
run|1
pues|9
nombre|1
pero|97
tambien|6
cierto|3
battle|1
tendency|1
ejemplo|3
tiene|19
tb|1
fuerza|2
cuál|3
parece|15
tener|14
brazos|3
mientras|9
tres|5
tipo|4
música|8
escuchó|1
pop|1
inglés|3
siguiente|3
country|1
metálica|1
polo|1
otro|7
puedo|25
putear|1
mundo|20
ganas|9
meterme|1
bife|1
misma|3
pelotuda|2
9m|1
hombre|7
vida|49
reir|4
demasiado|17
😍❣❤|1
único|30
últimamente|3
llegar|5
comer|11
dormir|19
❤|20
mira|3
😘el|1
pareja|4
muchisimo|1
santiagoyanalucia|1
3vecesana|1
;|2
sonrisa|45
dicen|3
